Date,Campaign ID,Campaign Name,Send Date,Send Time,Total Recipients,Open Rate,Click Rate,Unsubscribe Rate,Spam Complaints Rate,Total Opens,Unique Opens,Total Clicks,Unique Clicks,Total Unsubscribes,Unique Unsubscribes,Bounces,Bounce Rate,Tags,Subject,Preview Text,List,Excluded List,Day of Week,Campaign Channel
N/A,01H7W1ACTSWSY5EAY1PDN7JYK8,20230816_EDM_MAA FFW_ALDO DF_Independence day_EB,2023-08-16,10:00 AM,46,0.13043478260869565,0.08695652173913043,0.0,0.0,12,6,7,4,0,0,0,0.0,EB,Independence Day Specials! Save up to 45% OFF,Get extra voucher 17% OFF,20230816_EDM_MAA FFW_ALDO DF_Independence day_EB List,,Wednesday,Email
N/A,01H7WBS5MSQQND6EKPR1J73YJP,20230816_EDM_MAA FFW_ALDO DF_Independence day_NB,2023-08-16,10:00 AM,38679,0.7968806580104495,0.004474677978376701,0.0012673943406962909,0.0002586519062645492,36329,30809,344,173,51,49,17,0.0004395149822901316,NB,Independence Day Specials! Save up to 45% OFF,Get extra voucher 17% OFF,20230816_EDM_MAA FFW_ALDO DF_Independence day_NB List,20230816_EDM_MAA FFW_ALDO DF_Independence day_EB List,Wednesday,Email
N/A,01H772R82FTJGN6HKES793D9Z7,20230807_EDM_MAA FFW_ALDO DF_Disney x ALDO Launch_EB,2023-08-07,02:15 PM,42,0.16666666666666666,0.0,0.0,0.0,11,7,0,0,0,0,0,0.0,EB,Disney x ALDO is finally here!,Celebrate Disney100 Anniversary with us 💛,20230807_EDM_MAA FFW_ALDO DF_Disney x ALDO Launch_EB List,,Monday,Email
N/A,01H77C5THP35C90DV2QV8TBDD3,20230807_EDM_MAA FFW_ALDO DF_Disney x ALDO Launch_NB,2023-08-07,02:15 PM,36397,0.8173647757255936,0.0052495602462620935,0.001154353562005277,0.00032981530343007914,36345,29739,259,191,42,42,13,0.0003571722944198698,NB,Disney x ALDO is finally here!,Celebrate Disney100 Anniversary with us 💛,20230807_EDM_MAA FFW_ALDO DF_Disney x ALDO Launch_NB List,20230807_EDM_MAA FFW_ALDO DF_Disney x ALDO Launch_EB List,Monday,Email
N/A,01H6R4V94SAER809589BRH3CCE,20230802_EDM_MAA FFW_ALDO DF_Disney Early Access_NB,2023-08-02,12:00 PM,36319,0.8477129402693251,0.003965521989370198,0.0009638421501941453,0.00013769173574202075,38121,30783,222,144,38,35,6,0.00016520278642033096,NB,Early access starts now! Disney x ALDO 💛,Sign up & get early access today,20230802_EDM_MAA FFW_ALDO DF_Disney Early Access_NB List,20230802_EDM_MAA FFW_ALDO DF_Disney Early Access_EB List,Wednesday,Email
N/A,01H6T5FHYCXVK2ZN62XXKGCP1H,20230802_EDM_MAA FFW_ALDO DF_Disney Early Access_EB,2023-08-02,12:00 PM,25,0.12,0.04,0.0,0.0,9,3,1,1,0,0,0,0.0,EB,Early access starts now! Disney x ALDO 💛,Sign up & get early access today,20230802_EDM_MAA FFW_ALDO DF_Disney Early Access_EB List,,Wednesday,Email
N/A,01H6AGS4ER7DT3C9M42PBP0N67,20230729_EDM_MAA FFW_ALDO DF_Teaser Disney_NB,2023-07-29,04:00 PM,37786,0.8331390419669351,0.006729546417973718,0.001563162356930903,0.000132471386180585,39447,31446,324,254,63,59,42,0.0011115227862171174,NB,Coming soon : Disney x ALDO!,Limited-edition collection to celebrate Disney100 Anniversary,20230729_EDM_MAA FFW_ALDO DF_Teaser Disney_NB List,20230729_EDM_MAA FFW_ALDO DF_Teaser Disney_EB List,Saturday,Email
N/A,01H6DPTWKCZZ0KV87GVDESQAMD,20230729_EDM_MAA FFW_ALDO DF_Teaser Disney_EB,2023-07-29,04:00 PM,23,0.17391304347826086,0.043478260869565216,0.0,0.0,9,4,1,1,0,0,0,0.0,EB,Coming soon : Disney x ALDO!,Limited-edition collection to celebrate Disney100 Anniversary,20230729_EDM_MAA FFW_ALDO DF_Teaser Disney_EB List,,Saturday,Email
N/A,01H630R6Y8AQ8CEREMYE8Y4J11,20230726_EDM_MAA FFW_ALDO DF_PayDay 2_NB,2023-07-26,04:00 PM,120765,0.17826644249496446,0.0011153097065237294,0.0008073510562149385,0.00029131223677858606,26815,21418,174,134,104,97,619,0.0051256572682482505,NB,It's Payday! 🎉 Enjoy cashback up to Rp700.000,Free shipping on all orders,20230726_EDM_MAA FFW_ALDO DF_PayDay 2_NB List,,Wednesday,Email
N/A,01H5RFRRYXWMWAFDXSC716HWXJ,20230725_EDM_MAA FFW_ALDO DF_PayDay 1_NB,2023-07-25,03:00 PM,87042,0.18357454469912057,0.001477275350275835,0.0010502504443367265,0.00025390670082865914,19994,15906,196,128,94,91,396,0.004549527814158682,NB,It's Payday! 🎉 Enjoy cashback up to Rp700.000,Free shipping on all orders,20230725_EDM_MAA FFW_ALDO DF_PayDay 1_NB List + WL,,Tuesday,Email
