Date,Campaign ID,Campaign Name,Send Date,Send Time,Total Recipients,Open Rate,Click Rate,Unsubscribe Rate,Spam Complaints Rate,Total Opens,Unique Opens,Total Clicks,Unique Clicks,Total Unsubscribes,Bounces,Bounce Rate,Tags,Subject,Preview Text,List,Excluded List,Day of Week,Campaign Channel
N/A,01H83AJNSZKYEV3YQ7AMYAG5MM,20230818_EDM_MAA KIDS_Bricks DF_LEGO INDEPENDENCE DAY_EB,2023-08-18,01:30 PM,12,0.16666666666666666,0.16666666666666666,0.0,0.0,3,2,4,2,0,0,0.0,EB,LEGO® INDEPENDENCE DAY DEALS!🔥,Discount up to 30% + Extra 24% Off!,20230818_EDM_MAA KIDS_Bricks DF_LEGO INDEPENDENCE DAY_EB List,,Friday,Email
N/A,01H83HQK2BBFECTGG7M6JCYF72,20230818_EDM_MAA KIDS_Bricks DF_LEGO INDEPENDENCE DAY_NB,2023-08-18,01:30 PM,14250,0.041326960922125386,0.0009839752600506045,0.001967950520101209,0.00021085184143941523,691,588,16,14,28,22,0.001543859649122807,NB,LEGO® INDEPENDENCE DAY DEALS!🔥,Discount up to 30% + Extra 24% Off!,20230818_EDM_MAA KIDS_Bricks DF_LEGO INDEPENDENCE DAY_NB List,20230818_EDM_MAA KIDS_Bricks DF_LEGO INDEPENDENCE DAY_EB List,Friday,Email
N/A,01H7FKYJ2MCPZH1QCRGVHQWT1B,20230812_EDM_MAA KIDS_Bricks DF_LEGO Disney Castle_EB,2023-08-12,01:00 PM,17,0.29411764705882354,0.058823529411764705,0.0,0.0,6,5,1,1,0,0,0.0,EB,Buy More to Get More! Discount up to 20% Off!,Free Delivery: ALWAYS ON!,20230812_EDM_MAA KIDS_Bricks DF_LEGO Disney Castle_EB List,,Saturday,Email
N/A,01H7HX5KN7JV1D6E32R4N8DY9W,20230812_EDM_MAA KIDS_Bricks DF_LEGO Disney Castle_NB,2023-08-12,01:00 PM,14801,0.061301112703938836,0.0006826404532732609,0.0027305618130930437,0.0002730561813093044,1137,898,11,10,43,152,0.010269576379974325,NB,Buy More to Get More! Discount up to 20% Off!,Free Delivery: ALWAYS ON!,20230812_EDM_MAA KIDS_Bricks DF_LEGO Disney Castle_NB List,20230812_EDM_MAA KIDS_Bricks DF_LEGO Disney Castle_EB List,Saturday,Email
N/A,01H77TPE3VBH425XKW0CB66FDC,20230809_EDM_MAA KIDS_Bricks DF_8.8 LEGO_EB,2023-08-09,11:00 AM,11,0.7272727272727273,0.09090909090909091,0.0,0.0,12,8,1,1,0,0,0.0,EB,Shop More to Get 20% Off!🤩🛍️,Free Delivery: ALWAYS ON!,20230809_EDM_MAA KIDS_Bricks DF_8.8 LEGO_EB List,,Wednesday,Email
N/A,01H7AC3RNZEVYEFYER0CDSRVB6,20230809_EDM_MAA KIDS_Bricks DF_8.8 LEGO_NB,2023-08-09,11:00 AM,111038,0.08661424439624006,0.0004790310918293565,0.0005422993492407809,0.00018980477223427331,11497,9583,123,53,61,398,0.003584358507898197,NB,Shop More to Get 20% Off!🤩🛍️,Free Delivery: ALWAYS ON!,20230809_EDM_MAA KIDS_Bricks DF_8.8 LEGO_NB List,20230809_EDM_MAA KIDS_Bricks DF_8.8 LEGO_EB List,Wednesday,Email
N/A,01H68MWZ8WTRJAA1Z8Y275NN4T,20230728_EDM_MAA KIDS_Bricks DF_Store Activity_EB,2023-07-28,10:30 AM,9,0.4444444444444444,0.0,0.0,0.0,7,4,0,0,0,0,0.0,EB,TOGETHER WE RISE! Visit Us at LCS Cilandak Town Square!🥳,2 DAYS ONLY! ,20230728_EDM_MAA KIDS_Bricks DF_Store Activity_EB List,,Friday,Email
N/A,01H6BEBDEK58HKJF4Q46DS1MFH,20230728_EDM_MAA KIDS_Bricks DF_Store Activity_NB,2023-07-28,10:30 AM,6694,0.1896860986547085,0.0007473841554559044,0.0028400597907324364,0.00014947683109118088,1597,1269,9,5,19,4,0.0005975500448162533,NB,TOGETHER WE RISE! Visit Us at LCS Cilandak Town Square!🥳,2 DAYS ONLY! ,20230728_EDM_MAA KIDS_Bricks DF_Store Activity_NB List,20230728_EDM_MAA KIDS_Bricks DF_Store Activity_EB List,Friday,Email
N/A,01H68JMWZ133SXYY8PAKE01QE0,20230728_EDM_MAA KIDS_Bricks DF_QR Voucher Announcement_NB,2023-07-28,10:00 AM,35,0.22857142857142856,0.0,0.0,0.0,11,8,0,0,0,0,0.0,NB,Selamat Datang! Gunakan voucher 100k Kamu Sekarang!🤩🥳,Gratis Ongkir Selamanya🥳🥳,20230728_EDM_MAA KIDS_Bricks DF_QR Voucher Announcement_NB List,,Friday,Email
N/A,01H63C8PAE2MHJYSY5HYS8V6ZP,20230725_EDM_MAA KIDS_Bricks DF_Payday D2C & Up House_EB,2023-07-25,11:00 AM,14,0.5,0.0,0.0,0.0,14,7,0,0,0,0,0.0,EB,EXCLUSIVE ITEMS! SALE up to 30% Off🛍️,Free Delivery🚛,20230725_EDM_MAA KIDS_Bricks DF_Payday D2C and Up House_EB List,,Tuesday,Email
N/A,01H65FQW9TXP0SAF09EEHN4BF7,20230725_EDM_MAA KIDS_Bricks DF_Payday D2C & Up House_NB,2023-07-25,11:00 AM,105674,0.08976497346474602,0.0007202426080363912,0.0008813495072024261,0.00020849128127369218,11663,9472,130,76,102,154,0.0014573121108314249,NB,EXCLUSIVE ITEMS! SALE up to 30% Off🛍️,Free Delivery🚛,20230725_EDM_MAA KIDS_Bricks DF_Payday D2C and Up House_NB List,20230725_EDM_MAA KIDS_Bricks DF_Payday D2C and Up House_EB List,Tuesday,Email
N/A,01H5KXZNMZ7AWG7SR7DY5CCFPG,20230721_EDM_MAA KIDS_Bricks DF_QR Voucher Announcement_NB,2023-07-21,01:30 PM,35,0.3142857142857143,0.02857142857142857,0.0,0.0,15,11,2,1,0,0,0.0,NB,Selamat Datang! Gunakan voucher 100k Kamu Sekarang!🤩🥳,Gratis Ongkir Selamanya🥳🥳,20230721_EDM_MAA KIDS_Bricks DF_QR Voucher Announcement_NB List,,Friday,Email
