Date,Campaign ID,Campaign Name,Send Date,Send Time,Total Recipients,Open Rate,Click Rate,Unsubscribe Rate,Spam Complaints Rate,Total Opens,Unique Opens,Total Clicks,Unique Clicks,Total Unsubscribes,Bounces,Bounce Rate,Tags,Subject,Preview Text,List,Excluded List,Day of Week,Campaign Channel
N/A,01H66AA7D5ZMVN24RFW3BB8PRA,20230729_EDM_MAA SPORTS_Converse PH_ACW_EB,2023-07-29,05:00 PM,515,0.4058252427184466,0.02524271844660194,0.011650485436893204,0.0,320,209,16,13,6,0,0.0,EB,ACW,Converse X A COLD WALL,20230729_EDM_MAA SPORTS_Converse PH_ACW_EB List,,Saturday,Email
N/A,01H6AR55Q3DK0CMA1CSPZEBV1C,20230729_EDM_MAA SPORTS_Converse PH_ACW_NB,2023-07-29,05:00 PM,14814,0.28860964734495337,0.014389947304418322,0.0013511687609782462,0.00013511687609782462,5851,4272,293,213,22,12,0.0008100445524503848,N/A,ACW,Converse X A COLD WALL,20230729_EDM_MAA SPORTS_Converse PH_ACW_NB List,20230729_EDM_MAA SPORTS_Converse PH_ACW_EB List,Saturday,Email
N/A,01H65WHHYHDVC9WQZH8CCMQNPZ,20230725_EDM_MAA SPORTS_Converse PH_CTAS CONSTRUCT_EB,2023-07-25,05:00 PM,564,0.4035714285714286,0.02142857142857143,0.005357142857142857,0.0,333,226,19,12,3,4,0.0070921985815602835,EB,CTAS CONSTRUCT,SHOP THE LATEST CTAS CONSTRUCT,20230725_EDM_MAA SPORTS_Converse PH_CTAS CONSTRUCT_EB List,,Tuesday,Email
N/A,01H662ZE2B6WCYNH6MPX7M9T7W,20230725_EDM_MAA SPORTS_Converse PH_CTAS CONSTRUCT_NB,2023-07-25,05:00 PM,15795,0.28672508925673484,0.015384615384615385,0.0006491398896462187,0.00019474196689386563,6173,4417,346,237,11,390,0.024691358024691357,NB,CTAS CONSTRUCT,SHOP THE LATEST CTAS CONSTRUCT,20230725_EDM_MAA SPORTS_Converse PH_CTAS CONSTRUCT_NB List,20230725_EDM_MAA SPORTS_Converse PH_CTAS CONSTRUCT_EB List,Tuesday,Email
N/A,01H3BJEGHBX778NR5Q3FBKTBN5,20230624_EDM_MAA SPORTS_Converse PH_Warm-up 8_NB,2023-06-24,05:00 PM,32416,0.19883095193913528,0.006649347436135338,0.0011443063029628255,6.185439475474733e-05,10335,6429,304,215,38,82,0.002529615004935834,NB,One Star Pro,Made for Skate,20230624_EDM_MAA SPORTS_Converse PH_Warm-up 8_NB List,,Saturday,Email
N/A,01H3BHMMVJGQ00ME104N9GRSRS,20230623_EDM_MAA SPORTS_Converse PH_Warm-up 7_NB,2023-06-23,05:00 PM,21328,0.19040902679830748,0.004231311706629055,0.0009402914903620122,9.402914903620122e-05,5836,4050,112,90,20,58,0.002719429857464366,NB,FUTURE FORWARD,SHOP THE LATEST RUN STAR LEGACY,20230623_EDM_MAA SPORTS_Converse PH_Warm-up 7_NB List,,Friday,Email
N/A,01H397CGRBPTX8V0W6F46920YJ,20230622_EDM_MAA SPORTS_Converse PH_Warm-up 6_NB,2023-06-22,05:00 PM,13988,0.19941797017097126,0.0043652237177155325,0.0007275372862859222,0.00014550745725718444,4049,2741,87,60,11,243,0.017372033171289675,NB,RUN STAR LEGACY CX,SHOP THE LATEST ELEVATION,20230622_EDM_MAA SPORTS_Converse PH_Warm-up 6_NB List,,Thursday,Email
N/A,01H3962P23TE4VASZ1QCG5WC4C,20230621_EDM_MAA SPORTS_Converse PH_Warm-up 5_NB,2023-06-21,05:00 PM,8795,0.19490934449093444,0.004649000464900047,0.00046490004649000463,0.0,2465,1677,57,40,4,191,0.021716884593519045,NB,RUN STAR LEGACY CX,SHOP THE LATEST ELEVATION,20230621_EDM_MAA SPORTS_Converse PH_Warm-up 5_NB List,,Wednesday,Email
N/A,01H39KAYGNB1AV13F63SHPKPSJ,20230620_EDM_MAA SPORTS_Converse PH_Welcome Email Voucher Incentive_NB,2023-06-20,05:00 PM,6511,0.4723848710238962,0.0685235005538851,0.0007912644405760405,0.0,5643,2985,608,433,5,192,0.02948855782521886,NB,Welcome to Converse PH,Shop Now,20230620_EDM_MAA SPORTS_Converse PH_Welcome Email Voucher Incentive_NB List,,Tuesday,Email
N/A,01H31STMFMBM3QWVQHASJZXE74,20230619_EDM_MAA SPORTS_Converse PH_Warm-up 4_NB,2023-06-19,05:00 PM,4854,0.21962025316455697,0.007805907172995781,0.0008438818565400844,0.0002109704641350211,1514,1041,53,37,4,114,0.023485784919653894,NB,RUN STAR LEGACY CX,SHOP THE LATEST ELEVATION,20230619_EDM_MAA SPORTS_Converse PH_Warm-up 4_NB List,,Monday,Email
