Date,Campaign ID,Campaign Name,Send Date,Send Time,Total Recipients,Open Rate,Click Rate,Unsubscribe Rate,Spam Complaints Rate,Total Opens,Unique Opens,Total Clicks,Unique Clicks,Total Unsubscribes,Bounces,Bounce Rate,Tags,Subject,Preview Text,List,Excluded List,Day of Week,Campaign Channel
N/A,01H83A3W7JJWJW202B8ZCC9JFS,20230818_EDM_MAA SPORTS_Converse DF_Product Highlight - Beyond Retro_EB,2023-08-18,05:30 PM,1094,0.2607502287282708,0.011893870082342177,0.0,0.0,346,285,20,13,0,1,0.0009140767824497258,EB,Step into the 90's,Shop Now High-Tops Made from Upcycled Flannel,20230818_EDM_MAA SPORTS_Converse DF_Product Highlight - Beyond Retro_EB List,,Friday,Email
N/A,01H83NDPFR3BPWQVDN7FR0XV9P,20230818_EDM_MAA SPORTS_Converse DF_Product Highlight - Beyond Retro_NB,2023-08-18,05:30 PM,63911,0.6488657179089756,0.002692843611541653,0.0005166502277957822,4.69682025268893e-05,47902,41445,234,172,33,38,0.0005945768334089593,NB,Step into the 90's,Shop Now High-Tops Made from Upcycled Flannel,20230818_EDM_MAA SPORTS_Converse DF_Product Highlight - Beyond Retro_NB List,20230818_EDM_MAA SPORTS_Converse DF_Product Highlight - Beyond Retro_EB List,Friday,Email
N/A,01H7Z1KGEFH8YKZN1JK4QWBHEF,20230817_EDM_MAA SPORTS_Converse DF_Promo 17 Agustus_EB,2023-08-17,02:00 PM,1167,0.24850042844901457,0.010282776349614395,0.001713796058269066,0.0,347,290,17,12,2,0,0.0,EB,Happy Independence Day,Shop Now and Get Disc. 50% on 2nd Items.,20230817_EDM_MAA SPORTS_Converse DF_Promo 17 Agustus_EB List,,Thursday,Email
N/A,01H7Z40VY3SECP701HW72WB7EZ,20230817_EDM_MAA SPORTS_Converse DF_Promo 17 Agustus_NB,2023-08-17,02:00 PM,84074,0.5578732934645351,0.005646756093493127,0.001036429915894308,0.00011912987539015035,54623,46829,723,474,91,132,0.0015700454361633799,NB,Happy Independence Day,Shop Now and Get Disc. 50% on 2nd Items.,20230817_EDM_MAA SPORTS_Converse DF_Promo 17 Agustus_NB List,20230817_EDM_MAA SPORTS_Converse DF_Promo 17 Agustus_EB List,Thursday,Email
N/A,01H7SGVCBEP18PVS5V089SA2X0,20230814_EDM_MAA SPORTS_Converse DF_Product Highlight - Converse ACW_EB,2023-08-14,04:30 PM,1283,0.2515625,0.01015625,0.0,0.0,388,322,16,13,0,3,0.002338269680436477,EB,Just Dropped: Converse x A-COLD-WALL*,Designer Samuel Ross Reworks the Chuck 70. Shop the Shoe.,20230814_EDM_MAA SPORTS_Converse DF_Product Highlight - Converse ACW_EB List,,Monday,Email
N/A,01H7SKGRCPEG350YPTFDKJ1TBR,20230814_EDM_MAA SPORTS_Converse DF_Product Highlight - Converse ACW_NB,2023-08-14,04:30 PM,66495,0.6880144458656233,0.002588217590850952,0.0010232488149875855,0.00012038221352795125,54123,45722,233,172,70,40,0.0006015489886457628,NB,Just Dropped: Converse x A-COLD-WALL*,Designer Samuel Ross Reworks the Chuck 70. Shop the Shoe.,20230814_EDM_MAA SPORTS_Converse DF_Product Highlight - Converse ACW_NB List,20230814_EDM_MAA SPORTS_Converse DF_Product Highlight - Converse ACW_EB List,Monday,Email
N/A,01H79H29ACNGGF8P6WAC4A288B,20230810_EDM_MAA SPORTS_Converse DF_Product Highlight - Converse CTAS Cruise_EB,2023-08-10,04:00 PM,1304,0.25153374233128833,0.003834355828220859,0.0,0.0,418,328,9,5,0,0,0.0,EB,Introducing the Chuck Taylor All Star Cruise,"A Nostalgic, '90s Style Made Just for You. All the Deets are Just Click Away",20230810_EDM_MAA SPORTS_Converse DF_Product Highlight - Converse CTAS Cruise_EB List,,Thursday,Email
N/A,01H7CXZ4N8KC0XJBAE02ASFEYJ,20230810_EDM_MAA SPORTS_Converse DF_Product Highlight - Converse CTAS Cruise_NB,2023-08-10,04:00 PM,65630,0.6950473604734522,0.002425222312045271,0.0009304312014764875,0.00013727673464407193,54712,45568,216,159,63,69,0.0010513484686881,NB,Introducing the Chuck Taylor All Star Cruise,"A Nostalgic, '90s Style Made Just for You. All the Deets are Just Click Away",20230810_EDM_MAA SPORTS_Converse DF_Product Highlight - Converse CTAS Cruise_NB List,20230810_EDM_MAA SPORTS_Converse DF_Product Highlight - Converse CTAS Cruise_EB List,Thursday,Email
N/A,01H7717ES4MXRKYCZ7FTXP7Y6G,20230807_EDM_MAA SPORTS_Converse DF_Product Highlight - August Summer Vacay_EB,2023-08-07,04:00 PM,1243,0.23652453740949317,0.004827031375703942,0.0,0.0008045052292839903,374,294,6,6,0,0,0.0,EB,We've Got Your Summer Style Right Here,You're Going to Stand Out in These New Arrivals,20230807_EDM_MAA SPORTS_Converse DF_Product Highlight - August Summer Vacay_EB List,,Monday,Email
N/A,01H77GCW55FQX4D8J66EVCFXZ2,20230807_EDM_MAA SPORTS_Converse DF_Product Highlight - August Summer Vacay_NB,2023-08-07,04:00 PM,61371,0.7157134472414243,0.002037954871527325,0.0008151819486109299,0.0001467327507499674,52804,43899,170,125,50,35,0.0005703019341382737,NB,We've Got Your Summer Style Right Here,You're Going to Stand Out in These New Arrivals,20230807_EDM_MAA SPORTS_Converse DF_Product Highlight - August Summer Vacay_NB List,20230807_EDM_MAA SPORTS_Converse DF_Product Highlight - August Summer Vacay_EB List,Monday,Email
