Date,Campaign ID,Campaign Name,Send Date,Send Time,Total Recipients,Open Rate,Click Rate,Unsubscribe Rate,Spam Complaints Rate,Total Opens,Unique Opens,Total Clicks,Unique Clicks,Total Unsubscribes,Bounces,Bounce Rate,Tags,Subject,Preview Text,List,Excluded List,Day of Week,Campaign Channel
N/A,01H7YFXWP256HDTP664N60ZP1G,20230818_EDM_MAA SPORTS_CROCS DF_Lightning Mcqueen launch_EB,2023-08-18,04:00 PM,906,0.3274336283185841,0.00663716814159292,0.0,0.0,365,296,8,6,0,2,0.002207505518763797,EB,Are You Ready to Go Fast? ⚡️⚡️⚡️,Lightning McQueen x Crocs is Here! Get Yours Now!,20230818_EDM_MAA SPORTS_CROCS DF_Lightning Mcqueen launch_EB List,,Friday,Email
N/A,01H83Q3EE3ED4VTWCJBAXH5M7B,20230818_EDM_MAA SPORTS_CROCS DF_Lightning Mcqueen launch_NB,2023-08-18,04:00 PM,15962,0.17273988147774555,0.0032152313705711764,0.00441306266548985,6.304375236414071e-05,3206,2740,68,51,75,100,0.006264879087833605,NB,Are You Ready to Go Fast? ⚡️⚡️⚡️,Lightning McQueen x Crocs is Here! Get Yours Now!,20230818_EDM_MAA SPORTS_CROCS DF_Lightning Mcqueen launch_NB List,20230818_EDM_MAA SPORTS_CROCS DF_Lightning Mcqueen launch_EB List,Friday,Email
N/A,01H7CRP6RW9X667742NAT655YC,20230810_EDM_MAA SPORTS_CROCS DF_OFF Court Launch_EB,2023-08-10,03:00 PM,1053,0.4424357754519505,0.008563273073263558,0.003805899143672693,0.0,585,465,14,9,6,2,0.001899335232668566,EB,Iconic Comfort Gets Fresh,Introducing the Off Court Clog. Elevate Your Clog Game with Sneaker-like Sophistication.,20230810_EDM_MAA SPORTS_CROCS DF_OFF Court Launch_EB List,,Thursday,Email
N/A,01H7F34QMSJGD54ZGB5KS8TJSB,20230810_EDM_MAA SPORTS_CROCS DF_OFF Court Launch_NB,2023-08-10,03:00 PM,79336,0.5207781728320346,0.0015634062082356204,0.001008649166603626,0.00011347303124290794,49654,41305,179,124,83,22,0.00027730160330745183,NB,Iconic Comfort Gets Fresh,Introducing the Off Court Clog. Elevate Your Clog Game with Sneaker-like Sophistication.,20230810_EDM_MAA SPORTS_CROCS DF_OFF Court Launch_NB List,20230810_EDM_MAA SPORTS_CROCS DF_OFF Court Launch_EB List,Thursday,Email
N/A,01H6TJD09HSXMY3BRTB0Y3C4F7,20230805_EDM_MAA SPORTS_CROCS DF_Classic Clog_EB,2023-08-05,04:00 PM,1134,0.4457193292144748,0.019417475728155338,0.00088261253309797,0.0,642,505,30,22,1,1,0.0008818342151675485,EB,"Don't Be Basic, Be Classic!","Embrace Your Style with the Classic Clog Collection, Get Yours Now!",20230805_EDM_MAA SPORTS_CROCS DF_Classic Clog_EB List,,Saturday,Email
N/A,01H702DPR5RME5C4JKZ5DP1WX6,20230805_EDM_MAA SPORTS_CROCS DF_Classic Clog_NB,2023-08-05,04:00 PM,83878,0.5339957535128945,0.002874728630388625,0.0008230550850490255,0.00011928334565927905,54366,44767,341,241,73,44,0.0005245714013209662,NB,"Don't Be Basic, Be Classic!","Embrace Your Style with the Classic Clog Collection, Get Yours Now!",20230805_EDM_MAA SPORTS_CROCS DF_Classic Clog_NB List,20230805_EDM_MAA SPORTS_CROCS DF_Classic Clog_EB List,Saturday,Email
N/A,01H5PCZD0H3ESCX8KM3JG31PPM,20230720_EDM_MAA SPORTS_CROCS DF_Mellow_EB,2023-07-20,06:00 PM,1501,0.33666666666666667,0.012,0.004666666666666667,0.0,651,505,25,18,7,1,0.0006662225183211193,EB,Be Relax and Recover! 😎,Shop Our Mellow Collection Now!,20230720_EDM_MAA SPORTS_CROCS DF_Mellow_EB List,,Thursday,Email
N/A,01H5SD1B9G3GH1MCNFDZW5A3PY,20230720_EDM_MAA SPORTS_CROCS DF_Mellow_NB,2023-07-20,06:00 PM,90361,0.5072300095219114,0.0022365419960583715,0.0012511348789831485,0.0002103678115104409,57075,45812,293,202,116,43,0.00047586901428713714,NB,Be Relax and Recover! 😎,Shop Our Mellow Collection Now!,20230720_EDM_MAA SPORTS_CROCS DF_Mellow_NB List,20230720_EDM_MAA SPORTS_CROCS DF_Mellow_EB List,Thursday,Email
N/A,01H5788K0KG4JV4N238HRAZSK3,20230717_EDM_MAA SPORTS_CROCS DF_Barbie Launch_EB List,2023-07-17,04:00 PM,1729,0.37905092592592593,0.015625,0.0023148148148148147,0.0,833,655,33,27,4,1,0.000578368999421631,EB,Bring on the Day!,Shop the Barbie Collection Now at crocs.co.id!,20230717_EDM_MAA SPORTS_CROCS DF_Barbie Launch_EB List,,Monday,Email
N/A,01H5H81H3R29GHRCQZZSVGR1VY,20230717_EDM_MAA SPORTS_CROCS DF_Barbie Launch_NB,2023-07-17,04:00 PM,82356,0.4546040000972077,0.002296532114996719,0.0013366059928552334,0.00029162312571386913,46753,37413,262,189,114,58,0.0007042595560736315,NB,Bring on the Day!,Shop the Barbie Collection Now at crocs.co.id!,20230717_EDM_MAA SPORTS_CROCS DF_Barbie Launch_NB List,20230717_EDM_MAA SPORTS_CROCS DF_Barbie Launch_EB List,Monday,Email
N/A,01H4ZG71VHTT2WJCEJ4R33Q0AM,20230712_EDM_MAA SPORTS_CROCS DF_Crush Highlight_EB,2023-07-12,01:00 PM,1742,0.3998849252013809,0.012658227848101266,0.0034522439585730723,0.0,868,695,34,22,6,4,0.002296211251435132,EB,Crush Your Looks with the Crush Collection! 🤩,"Be Comfortable with Our Crush Collection, Check Them Out Now!",20230712_EDM_MAA SPORTS_CROCS DF_Crush Highlight_EB List,,Wednesday,Email
N/A,01H53Z09JW98A3ZHX2E38Z376N,20230712_EDM_MAA SPORTS_CROCS DF_Crush Highlight_NB,2023-07-12,01:00 PM,77294,0.4433610442079092,0.0019035040012431047,0.0012042576334395153,0.00024603112941237406,42632,34239,216,147,97,68,0.0008797578078505447,NB,Crush Your Looks with the Crush Collection! 🤩,"Be Comfortable with Our Crush Collection, Check Them Out Now!",20230712_EDM_MAA SPORTS_CROCS DF_Crush Highlight_NB List,20230712_EDM_MAA SPORTS_CROCS DF_Crush Highlight_EB List,Wednesday,Email
