Date,Campaign ID,Campaign Name,Send Date,Send Time,Total Recipients,Open Rate,Click Rate,Unsubscribe Rate,Spam Complaints Rate,Total Opens,Unique Opens,Total Clicks,Unique Clicks,Total Unsubscribes,Bounces,Bounce Rate,Tags,Subject,Preview Text,List,Excluded List,Day of Week,Campaign Channel
N/A,01H5M0ZGX69CVSBXC9BFQMNFA0,20230727_EDM_MAA SPORTS_Foot Locker PH_Sneaker Season_EB,2023-07-27,09:00 AM,621,0.355877616747182,0.03864734299516908,0.001610305958132045,0.0,315,221,28,24,1,0,0.0,EB,🔥 Fresh Kicks Alert!,Explore Foot Locker's Newest Neutral Sneakers 👟, 20230727_EDM_MAA SPORTS_Foot Locker PH_Sneaker Season_EB List,,Thursday,Email
N/A,01H66J8PSDJYQE1N8S12G0K475,20230727_EDM_MAA SPORTS_Foot Locker PH_Sneaker Season_NB,2023-07-27,09:00 AM,86099,0.0797892184293975,0.004686625629546726,0.0002797985450475658,2.331654542063048e-05,9000,6844,507,402,25,323,0.0037514953716071033,NB,🔥 Fresh Kicks Alert!,Explore Foot Locker's Newest Neutral Sneakers 👟, 20230727_EDM_MAA SPORTS_Foot Locker PH_Sneaker Season_NB List, 20230727_EDM_MAA SPORTS_Foot Locker PH_Sneaker Season_EB List,Thursday,Email
N/A,01H5H7PSQ604SJMSJXFBHKK5EH,20230717_EDM_MAA SPORTS_Foot Locker PH_Path to First Purchase_NB,2023-07-17,07:30 PM,18784,0.177388433272979,0.010437746298860368,0.0002130152305889871,0.0,5232,3331,259,196,4,6,0.00031942078364565585,NB,Exclusive Offer 🚨 Get P700 Off Your Sneaker Purchase Today,Sneaker shopping starts now,20230717_EDM_MAA SPORTS_Foot Locker PH_Path to First Purchase_NB List,20230717_EDM_MAA SPORTS_Foot Locker PH_Path to First Purchase_EB List,Monday,Email
N/A,01H5H7WS3TYTZ8RP1BRPGAQR98,20230717_EDM_MAA SPORTS_Foot Locker PH_Path to First Purchase_EB,2023-07-17,07:30 PM,14,0.35714285714285715,0.07142857142857142,0.0,0.0,14,5,3,1,0,0,0.0,EB,Exclusive Offer 🚨 Get P700 Off Your Sneaker Purchase Today,Sneaker shopping starts now,20230717_EDM_MAA SPORTS_Foot Locker PH_Path to First Purchase_EB List,,Monday,Email
N/A,01H5GZK4388JZ7B3FSXFCE9ECH,20230717_EDM_MAA SPORTS_Foot Locker PH_Path to First Purchase_Testing MAA_NB,2023-07-17,11:54 AM,16,0.5625,0.0,0.0,0.0,15,9,0,0,0,0,0.0,NB,Exclusive Offer 🚨 Get P700 Off Your Sneaker Purchase Today,Sneaker shopping starts now,Testing MAA Voucher,,Monday,Email
N/A,01H5GZ1VDN25GN05VPVE58S5PK,20230717_EDM_MAA SPORTS_Foot Locker PH_Path to First Purchase_Testing Internal_NB,2023-07-17,11:49 AM,8,0.375,0.0,0.0,0.0,8,3,0,0,0,0,0.0,NB,Exclusive Offer 🚨 Get P700 Off Your Sneaker Purchase Today,Sneaker shopping starts now,Testing Internal,,Monday,Email
N/A,01H59XD5RENHRN0D0XRY247FG9,20230715_EDM_MAA SPORTS_Foot Locker PH_Path to First Purchase_Testing Internal_EB,2023-07-14,06:05 PM,8,0.375,0.0,0.0,0.0,8,3,0,0,0,0,0.0,EB,Exclusive Offer 🚨 Get P700 Off Your Sneaker Purchase Today,Sneaker shopping starts now,Testing Internal,,Friday,Email
N/A,01H5707HZK27N9GTVB46PQ32Z9,20230714_EDM_MAA SPORTS_Foot Locker PH_Sneaker Season_EB,2023-07-14,04:00 PM,702,0.33045977011494254,0.028735632183908046,0.0028735632183908046,0.0,332,230,25,20,2,6,0.008547008547008548,EB,SNEAKER SEASON IS HERE! 👟,Discover Freshly Picked Sneakers Just for You,20230714_EDM_MAA SPORTS_Foot Locker PH_Sneaker Season_EB List,,Friday,Email
N/A,01H59399F58HCKFWMA127XYVAJ,20230714_EDM_MAA SPORTS_Foot Locker PH_Sneaker Season_NB,2023-07-14,04:00 PM,87345,0.0739913427929909,0.004479062984653133,0.0002430499293997824,2.31476123237888e-05,8921,6393,487,387,24,943,0.010796267674165664,NB,SNEAKER SEASON IS HERE! 👟,Discover Freshly Picked Sneakers Just for You, 20230714_EDM_MAA SPORTS_Foot Locker PH_Sneaker Season_NB List,20230714_EDM_MAA SPORTS_Foot Locker PH_Sneaker Season_EB List,Friday,Email
N/A,01H51XVTZB4GJZSDWZD0P3K4GA,20230713_EDM_MAA SPORTS_Foot Locker PH_Top Picks_EB,2023-07-13,01:00 PM,735,0.3133514986376022,0.01226158038147139,0.0027247956403269754,0.0,308,230,10,9,2,1,0.0013605442176870747,EB,🔥 Discover Foot Locker's Top Sneaker Picks this Month!,Elevate Your Style with Foot Locker's Must-Have Sneakers of the Month!,20230713_EDM_MAA SPORTS_Foot Locker PH_Top Picks_EB List,,Thursday,Email
