Date,Campaign ID,Campaign Name,Send Date,Send Time,Total Recipients,Open Rate,Click Rate,Unsubscribe Rate,Spam Complaints Rate,Total Opens,Unique Opens,Total Clicks,Unique Clicks,Total Unsubscribes,Bounces,Bounce Rate,Tags,Subject,Preview Text,List,Excluded List,Day of Week,Campaign Channel
N/A,01H8BHFKTJ025E86QYWNS48FB1,20230821_EDM_MAA SPORTS_FL DF_In Moment Voucher Incentive_EB,2023-08-21,05:00 PM,17,0.5294117647058824,0.058823529411764705,0.0,0.0,18,9,2,1,0,0,0.0,EB,Thank You for Sharing Your Feedback!,Here is Your E-Voucher,20230821_EDM_MAA SPORTS_FL DF_In Moment Voucher Incentive_EB List 1,,Monday,Email
N/A,01H8BNT88PF3AZ4QYRG5YG41BR,20230821_EDM_MAA SPORTS_FL DF_In Moment Voucher Incentive_NB,2023-08-21,05:00 PM,561,0.3803339517625232,0.05380333951762523,0.0,0.0,272,205,38,29,0,22,0.0392156862745098,NB,Thank You for Sharing Your Feedback!,Here is Your E-Voucher,20230821_EDM_MAA SPORTS_FL DF_In Moment Voucher Incentive_NB List 1,20230821_EDM_MAA SPORTS_FL DF_In Moment Voucher Incentive_EB List 1,Monday,Email
N/A,01H8B0DD1D6SBDDCGSK07ME57Q,20230821_EDM_MAA SPORTS_FL DF_In Moment Voucher Incentive_Testing 1_EB,2023-08-21,09:59 AM,9,0.6666666666666666,0.1111111111111111,0.0,0.0,8,6,4,1,0,0,0.0,EB,Thank You for Sharing Your Feedback!,Here is Your E-Voucher,20230801_TESTING MAA + KENNA VOUCHER,,Monday,Email
N/A,01H7Y73NGQ2QZQMY7QRZ16GJ20,20230817_EDM_MAA SPORTS_FL DF_FOOT LOCKER : INDEPENDENCE DAY SPECIAL DEALS_EB,2023-08-17,12:30 PM,2521,0.2865079365079365,0.02857142857142857,0.0007936507936507937,0.0,880,722,93,72,2,1,0.0003966679888932963,EB,INDEPENDENCE DAY SPECIAL DEAL ❤️🤍,Up To 50% Off + Extra 20% Off When You Buy 2 or More! 🎉 Limited Time Offer,20230817_EDM_MAA SPORTS_FL DF_FOOT LOCKER : INDEPENDENCE DAY SPECIAL DEALS_EB List,,Thursday,Email
N/A,01H7YXJQN0T4FJRN50G5M2ZH91,20230817_EDM_MAA SPORTS_FL DF_FOOT LOCKER : INDEPENDENCE DAY SPECIAL DEALS_NB,2023-08-17,12:30 PM,64405,0.5868713868340897,0.008795922173183316,0.0007614844284204637,4.662149561757941e-05,44267,37764,733,566,51,57,0.0008850244546230883,NB,INDEPENDENCE DAY SPECIAL DEAL ❤️🤍,Up To 50% Off + Extra 20% Off When You Buy 2 or More! 🎉 Limited Time Offer,20230817_EDM_MAA SPORTS_FL DF_FOOT LOCKER : INDEPENDENCE DAY SPECIAL DEALS_NB List,20230817_EDM_MAA SPORTS_FL DF_FOOT LOCKER : INDEPENDENCE DAY SPECIAL DEALS_EB List,Thursday,Email
N/A,01H7YMP3PFY2W3HNCJEV960KPS,20230821_EDM_MAA SPORTS_FL DF_In Moment Voucher Incentive_Testing_EB,2023-08-16,02:43 PM,9,0.8888888888888888,0.1111111111111111,0.0,0.0,12,8,7,1,0,0,0.0,EB,Thank You for Sharing Your Feedback!,Here is Your E-Voucher,20230801_TESTING MAA + KENNA VOUCHER,,Wednesday,Email
N/A,01H7W7TCZQ9SVSCGKCPJ8F2W84,20230815_EDM_MAA SPORTS_FL DF_In Moment Voucher Incentive_EB,2023-08-15,05:30 PM,14,0.6428571428571429,0.07142857142857142,0.0,0.0,13,9,2,1,0,0,0.0,EB,Thank You for Sharing Your Feedback!,Here is Your E-Voucher,20230815_EDM_MAA SPORTS_FL DF_In Moment Voucher Incentive_EB List,,Tuesday,Email
N/A,01H7W7WAP4NT6GTABFJ1QE3HDD,20230815_EDM_MAA SPORTS_FL DF_In Moment Voucher Incentive_NB,2023-08-15,05:30 PM,434,0.46635730858468677,0.03248259860788863,0.0,0.002320185614849188,337,201,28,14,0,3,0.0069124423963133645,NB,Thank You for Sharing Your Feedback!,Here is Your E-Voucher,20230815_EDM_MAA SPORTS_FL DF_In Moment Voucher Incentive_NB List,20230815_EDM_MAA SPORTS_FL DF_In Moment Voucher Incentive_EB List,Tuesday,Email
N/A,01H7W639JQ1BH1RZ3YGAQ6J49J,20230815_EDM_MAA SPORTS_FL DF_In Moment Voucher Incentive_Testing 1_EB,2023-08-15,03:49 PM,9,0.7777777777777778,0.1111111111111111,0.0,0.0,13,7,1,1,0,0,0.0,EB,Thank You for Sharing Your Feedback!,Here is Your E-Voucher,20230801_TESTING MAA + KENNA VOUCHER,,Tuesday,Email
N/A,01H7W5FRYNDD9W3SEHBFBYCJT0,20230815_EDM_MAA SPORTS_FL DF_In Moment Voucher Incentive_Testing_EB,2023-08-15,03:39 PM,9,0.7777777777777778,0.2222222222222222,0.0,0.0,13,7,15,2,0,0,0.0,EB,Thank You for Sharing Your Feedback!,Here is Your E-Voucher,20230801_TESTING MAA + KENNA VOUCHER,,Tuesday,Email
