Date,Campaign ID,Campaign Name,Send Date,Send Time,Total Recipients,Open Rate,Click Rate,Unsubscribe Rate,Spam Complaints Rate,Total Opens,Unique Opens,Total Clicks,Unique Clicks,Total Unsubscribes,Bounces,Bounce Rate,Tags,Subject,Preview Text,List,Excluded List,Day of Week,Campaign Channel
N/A,01H7YJN13MEG8VWY1Z1QYQDQQJ,20230818_EDM_MAA KIDS_KSA DF_Flash Sale & Flutter Virtual_EB,2023-08-18,11:00 AM,291,0.24742268041237114,0.006872852233676976,0.0,0.0,85,72,2,2,0,0,0.0,EB,"FLASH SALE KEMERDEKAAN! Cek Waktunya, Hanya SATU HARI!🔥",Diskon 17% + 8%! Buruan!,20230818_EDM_MAA KIDS_KSA DF_Flash Sale and Flutter Virtual_EB List,,Friday,Email
N/A,01H7YMRTBSP39NZD84JFV77237,20230818_EDM_MAA KIDS_KSA DF_Flash Sale & Flutter Virtual_NB,2023-08-18,11:00 AM,12635,0.1557403008709422,0.002454473475851148,0.004275534441805225,7.917656373713381e-05,2329,1967,155,31,55,5,0.0003957261574990107,NB,"FLASH SALE KEMERDEKAAN! Cek Waktunya, Hanya SATU HARI!🔥",Diskon 17% + 8%! Buruan!,20230818_EDM_MAA KIDS_KSA DF_Flash Sale and Flutter Virtual_NB List,20230818_EDM_MAA KIDS_KSA DF_Flash Sale and Flutter Virtual_EB List,Friday,Email
N/A,01H7VS46SCDKNMCNACEJFHA10G,20230817_EDM_MAA KIDS_KSA DF_Voucher kemerdekaan & SIKU & OKCA_EB,2023-08-17,11:00 AM,304,0.3026315789473684,0.01644736842105263,0.0,0.003289473684210526,114,92,8,5,0,0,0.0,EB,HANYA SATU HARI! Special Kemerdekaan!🔥,Jangan lewatkan FLASH SALE!,20230817_EDM_MAA KIDS_KSA DF_Voucher kemerdekaan and SIKU and OKCA_EB List,,Thursday,Email
N/A,01H7YMNW5FSVCBGSYB99D9ERZE,20230817_EDM_MAA KIDS_KSA DF_Voucher kemerdekaan & SIKU & OKCA_NB,2023-08-17,11:00 AM,13322,0.3890559230306675,0.0023301262778111847,0.003683102826217679,7.51653638003608e-05,5956,5176,137,31,50,18,0.0013511484762047741,NB,HANYA SATU HARI! Special Kemerdekaan!🔥,Jangan lewatkan FLASH SALE!,20230817_EDM_MAA KIDS_KSA DF_Voucher kemerdekaan and SIKU and OKCA_NB List,20230817_EDM_MAA KIDS_KSA DF_Voucher kemerdekaan and SIKU and OKCA_EB List,Thursday,Email
N/A,01H7HS924K2E5N2NJ9D1SXE16D,20230814_EDM_MAA KIDS_KSA DF_MLP b1g15 b2g25_EB,2023-08-14,03:00 PM,308,0.24675324675324675,0.0,0.0,0.0,89,76,0,0,0,0,0.0,EB,Koleksi MY LITTLE PONY Diskon Hingga 25%!🤩,Free Ongkir Selamanya,20230814_EDM_MAA KIDS_KSA DF_MLP b1g15 b2g25_EB List,,Monday,Email
N/A,01H7J290V8YEJT141GB2EHR3VE,20230814_EDM_MAA KIDS_KSA DF_MLP b1g15 b2g25_NB,2023-08-14,03:00 PM,12846,0.18299431065388513,0.0013249162185332399,0.003585067414854649,0.00015587249629802822,2826,2348,154,17,48,15,0.0011676786548341896,NB,Koleksi MY LITTLE PONY Diskon Hingga 25%!🤩,Free Ongkir Selamanya,20230814_EDM_MAA KIDS_KSA DF_MLP b1g15 b2g25_NB List,20230814_EDM_MAA KIDS_KSA DF_MLP b1g15 b2g25_EB List,Monday,Email
N/A,01H78389R2T85GX5QP6VHK4404,20230812_EDM_MAA KIDS_KSA DF_Junjung lebih hemat & LPVT_NB,2023-08-12,10:00 AM,13750,0.16208931303270926,0.0009470386828877395,0.0034967582137393457,0.0002185473883587091,2681,2225,17,13,52,23,0.0016727272727272728,NB,Belanja Lebih Banyak Makin Hemat Hingga 30%!🤩🛍️,Cashback MAPCLUB Points Hingga 120RB!,20230812_EDM_MAA KIDS_KSA DF_Junjung lebih hemat and LPVT_NB List,20230812_EDM_MAA KIDS_KSA DF_Junjung lebih hemat and LPVT_EB List,Saturday,Email
N/A,01H7CM6T5RA58QTK6G2F3RK96F,20230812_EDM_MAA KIDS_KSA DF_Junjung lebih hemat & LPVT_EB,2023-08-12,10:00 AM,319,0.23824451410658307,0.003134796238244514,0.0,0.0,96,76,2,1,0,0,0.0,EB,Belanja Lebih Banyak Makin Hemat Hingga 30%!🤩🛍️,Cashback MAPCLUB Points Hingga 120RB!,20230812_EDM_MAA KIDS_KSA DF_Junjung lebih hemat and LPVT_EB List,,Saturday,Email
N/A,01H77HVR4KM3HH0ZVCWR0NSMNX,20230810_EDM_MAA KIDS_KSA DF_Paw Patrol Smiggle_EB,2023-08-10,12:00 PM,278,0.2841726618705036,0.014388489208633094,0.0,0.0,102,79,4,4,0,0,0.0,EB,New SMIGGLE Collection has Arrived!,Always Free Delivery!🚛,20230810_EDM_MAA KIDS_KSA DF_Paw Patrol Smiggle_EB List,,Thursday,Email
N/A,01H7CZ9SXQNQT9RDZ8W3PVK8FY,20230810_EDM_MAA KIDS_KSA DF_Paw Patrol Smiggle_NB,2023-08-10,12:00 PM,13001,0.179046433849265,0.003888932099245547,0.0047444971610795675,0.0003888932099245547,2894,2302,67,50,63,144,0.011076071071456042,NB,New SMIGGLE Collection has Arrived!,Always Free Delivery!🚛,20230810_EDM_MAA KIDS_KSA DF_Paw Patrol Smiggle_NB List,20230810_EDM_MAA KIDS_KSA DF_Paw Patrol Smiggle_EB List,Thursday,Email
