Date,Campaign ID,Campaign Name,Send Date,Send Time,Total Recipients,Open Rate,Click Rate,Unsubscribe Rate,Spam Complaints Rate,Total Opens,Unique Opens,Total Clicks,Unique Clicks,Total Unsubscribes,Bounces,Bounce Rate,Tags,Subject,Preview Text,List,Excluded List,Day of Week,Campaign Channel
N/A,01H7Y4WJR8VPHNS35DJTWZZBX9,20230818_EDM_MAA FFW_LINEA DF_Independence day_EB,2023-08-18,03:00 PM,570,0.28998242530755713,0.01757469244288225,0.0035149384885764497,0.0017574692442882249,188,165,27,10,2,1,0.0017543859649122807,EB,Celebrate with Red & White 🎉,Discover Many Offers Inside and Celebrate Independence Day in Style!,20230818_EDM_MAA FFW_LINEA DF_Independence day_EB Rev List,,Friday,Email
N/A,01H83NKGKANC11V65DH87JFYVD,20230818_EDM_MAA FFW_LINEA DF_Independence day_NB,2023-08-18,03:00 PM,131382,0.5007020649867981,0.0023732849010240993,0.0026708994062972177,0.00012209825857358708,75553,65613,601,311,356,340,0.0025878735290983546,EB,Celebrate with Red & White 🎉,Discover Many Offers Inside and Celebrate Independence Day in Style!,20230818_EDM_MAA FFW_LINEA DF_Independence day_NB Rev List,20230818_EDM_MAA FFW_LINEA DF_Independence day_EB Rev List,Friday,Email
N/A,01H770BVJRPRTGA8Z3CP17T978,20230807_EDM_MAA FFW_LINEA DF_Birkenstock Pink_EB,2023-08-07,05:00 PM,528,0.301707779886148,0.017077798861480076,0.0018975332068311196,0.0,206,159,14,9,1,1,0.001893939393939394,EB,🎀💗Enjoy The Pink World! Discover More with Birkenstock,Shop Now only on LINEASHOES,20230807_EDM_MAA FFW_LINEA DF_Birkenstock Pink_EB List,,Monday,Email
N/A,01H77GKKJHVJKAG21W0KRKHREJ,20230807_EDM_MAA FFW_LINEA DF_Birkenstock Pink_NB,2023-08-07,05:00 PM,117755,0.49539652825051056,0.0019400953029271614,0.002595302927161334,0.00022974812797821648,69570,58219,478,228,320,235,0.001995668973716615,NB,🎀💗Enjoy The Pink World! Discover More with Birkenstock,Shop Now only on LINEASHOES,20230807_EDM_MAA FFW_LINEA DF_Birkenstock Pink_NB List,20230807_EDM_MAA FFW_LINEA DF_Birkenstock Pink_EB List,Monday,Email
N/A,01H6TH9DEAKGFAMSZNPF04F9ZZ,"20230803_EDM_MAA FFW_LINEA DF_Cashback 800,000_EB",2023-08-03,11:00 AM,526,0.3314285714285714,0.024761904761904763,0.0038095238095238095,0.0,231,174,26,13,2,1,0.0019011406844106464,EB,Join our Awesome August Promotion,Cashback up to Rp800.000 + Get Rp88.000 Voucher,"20230803_EDM_MAA FFW_LINEA DF_Cashback 800,000_EB List",,Thursday,Email
N/A,01H6WM8RTMRYVM3A5W492S3FK8,"20230803_EDM_MAA FFW_LINEA DF_Cashback 800,000_NB",2023-08-03,11:00 AM,71166,0.7145911578118187,0.002433500724423626,0.0013081824703548971,0.00019693069446202754,61617,50801,370,173,95,75,0.0010538740409746228,NB,Join our Awesome August Promotion,Cashback up to Rp800.000 + Get Rp88.000 Voucher,"20230803_EDM_MAA FFW_LINEA DF_Cashback 800,000_NB List","20230803_EDM_MAA FFW_LINEA DF_Cashback 800,000_EB List",Thursday,Email
N/A,01H6AQ1CVTW1W6EQRERNPBAB08,20230728_EDM_MAA FFW_LINEA DF_Payday_EB,2023-07-28,04:00 PM,467,0.31263383297644537,0.006423982869379015,0.0021413276231263384,0.0,178,146,4,3,1,0,0.0,EB,July reminder😎 4 Days Left!,Rebate up to Rp700.000 + 25% OFF,20230728_EDM_MAA FFW_LINEA DF_Payday_EB List,,Friday,Email
N/A,01H6BP2DBB5RDRWZ84H2Q9PSFE,20230728_EDM_MAA FFW_LINEA DF_Payday_NB,2023-07-28,04:00 PM,202307,0.2745958406711914,0.0012416645230227358,0.0014296456061895246,0.0002176623068247027,67828,55509,359,251,300,159,0.0007859342484441962,NB,July reminder😎 4 Days Left!,Rebate up to Rp700.000 + 25% OFF,20230728_EDM_MAA FFW_LINEA DF_Payday_NB List,20230728_EDM_MAA FFW_LINEA DF_Payday_EB List,Friday,Email
N/A,01H5V6VF1KCQ9B311B25KBFEGY,20230724_EDM_MAA FFW_LINEA DF_Welcoming Payday_EB,2023-07-24,05:00 PM,450,0.311804008908686,0.013363028953229399,0.0,0.0,176,140,7,6,0,1,0.0022222222222222222,EB,DR. MARTENS - Built for wherever you take them,It's Payday Time! Express your style here!,20230724_EDM_MAA FFW_LINEA DF_Welcoming Payday_EB List,,Monday,Email
N/A,01H5VRQX4FE7SQMRH1378PSHTV,20230724_EDM_MAA FFW_LINEA DF_Welcoming Payday_NB,2023-07-24,05:00 PM,90466,0.5711737463715127,0.003589709499434953,0.0022491081123002946,8.863480245518403e-05,63745,51553,459,324,214,208,0.0022992063316605135,NB,DR. MARTENS - Built for wherever you take them,It's Payday Time! Express your style here!,20230724_EDM_MAA FFW_LINEA DF_Welcoming Payday_NB List,20230724_EDM_MAA FFW_LINEA DF_Welcoming Payday_EB List,Monday,Email
