Date,Campaign ID,Campaign Name,Send Date,Send Time,Total Recipients,Open Rate,Click Rate,Unsubscribe Rate,Spam Complaints Rate,Total Opens,Unique Opens,Total Clicks,Unique Clicks,Total Unsubscribes,Bounces,Bounce Rate,Tags,Subject,Preview Text,List,Excluded List,Day of Week,Campaign Channel
N/A,01H8BPNE1QZV4WT7G3Q92B8XKM,20230821_EDM_MAA SPORTS_PSA DF_adidas campaign - voucher incentive_EB,2023-08-21,06:00 PM,5,0.8,0.0,0.0,0.0,5,4,0,0,0,0,0.0,EB,Thank You for Choosing adidas,Here's Rp300K Voucher + 3X MAPCLUB Point to Welcome You Back!,20230821_EDM_MAA SPORTS_PSA DF_adidas campaign - voucher incentive_EB List,,Monday,Email
N/A,01H8BPW1RCSJJNSQV9SZM7FVZC,20230821_EDM_MAA SPORTS_PSA DF_adidas campaign - voucher incentive_NB,2023-08-21,06:00 PM,16,0.625,0.1875,0.0,0.0,22,10,12,3,0,0,0.0,NB,Thank You for Choosing adidas,Here's Rp300K Voucher + 3X MAPCLUB Point to Welcome You Back!,20230821_EDM_MAA SPORTS_PSA DF_adidas campaign - voucher incentive_NB List,20230821_EDM_MAA SPORTS_PSA DF_adidas campaign - voucher incentive_EB List,Monday,Email
N/A,01H8BJHP9427S81REZ0FAN2QEG,20230821_EDM_MAA SPORTS_PSA DF_adidas campaign - voucher incentive_Testing_EB,2023-08-21,03:54 PM,9,0.7777777777777778,0.2222222222222222,0.0,0.0,8,7,4,2,0,0,0.0,EB,Thank You for Choosing adidas,Here's Rp300K Voucher + 3X MAPCLUB Point to Welcome You Back!,20230801_Testing Voucher Kenna + Mas Zelmi_PSA,,Monday,Email
N/A,01H7WCDCGHGHFED2K4ARVS6395,20230815_EDM_MAA SPORTS_PSA DF_adidas campaign - voucher incentive_EB,2023-08-15,07:00 PM,3,0.6666666666666666,0.3333333333333333,0.0,0.0,14,2,6,1,0,0,0.0,EB,Thank You for Choosing adidas,Here's Rp300K Voucher + 3X MAPCLUB Point to Welcome You Back!,20230815_EDM_MAA SPORTS_PSA DF_adidas campaign - voucher incentive_EB List,,Tuesday,Email
N/A,01H7WF3FFRKY6CCC1RQB3T4Y9P,20230815_EDM_MAA SPORTS_PSA DF_adidas campaign - voucher incentive_NB,2023-08-15,07:00 PM,14,0.42857142857142855,0.07142857142857142,0.0,0.0,10,6,1,1,0,0,0.0,NB,Thank You for Choosing adidas,Here's Rp300K Voucher + 3X MAPCLUB Point to Welcome You Back!,20230815_EDM_MAA SPORTS_PSA DF_adidas campaign - voucher incentive_NB List,20230815_EDM_MAA SPORTS_PSA DF_adidas campaign - voucher incentive_EB List,Tuesday,Email
N/A,01H7W94WYBF98Y3245M2R1YA4Y,20230815_EDM_MAA SPORTS_PSA DF_adidas campaign - voucher incentive_Testing_EB,2023-08-15,05:13 PM,9,0.7777777777777778,0.1111111111111111,0.0,0.0,12,7,3,1,0,0,0.0,EB,Thank You for Choosing adidas,Here's Rp300K Voucher + 3X MAPCLUB Point to Welcome You Back!,20230801_Testing Voucher Kenna + Mas Zelmi_PSA,,Tuesday,Email
N/A,01H5RF1XYGPPB6CPVQ9007Q4YN,20230815_EDM_MAA SPORTS_PSA DF_Brand Takeover ; BAHE YOGA MATT NEW COLLECTION_EB,2023-08-15,11:00 AM,10215,0.2109076666993048,0.003231175952217762,0.0010770586507392538,9.791442279447762e-05,2578,2154,47,33,11,2,0.0001957905041605482,N/A,Introducing BAHE New Yoga Mat Collection🧘‍♀️,Shop Now!,20230815_EDM_MAA SPORTS_PSA DF_Brand Takeover ; BAHE YOGA MATT NEW COLLECTION_EB List,,Tuesday,Email
N/A,01H7VJY4GSGWEBCFFN9AR5ZWG3,20230815_EDM_MAA SPORTS_PSA DF_Brand Takeover ; BAHE YOGA MATT NEW COLLECTION_NB,2023-08-15,11:00 AM,105049,0.505187146926294,0.0016290213487534652,0.0016576006706614207,7.621152508788141e-05,62423,53030,290,171,178,78,0.0007425106378927929,N/A,Introducing BAHE New Yoga Mat Collection🧘‍♀️,Shop Now!,20230815_EDM_MAA SPORTS_PSA DF_Brand Takeover ; BAHE YOGA MATT NEW COLLECTION_NB List,20230815_EDM_MAA SPORTS_PSA DF_Brand Takeover ; BAHE YOGA MATT NEW COLLECTION_EB List,Tuesday,Email
N/A,01H7CW6CGNYFEJS2TSMGNSKMA9,20230811_EDM_MAA SPORTS_PSA DF_PSA Splash Out! | Swimming Collection_EB,2023-08-11,04:00 PM,10873,0.21532376747608536,0.0037711552612214863,0.0003679175864606328,0.0001839587932303164,2820,2341,55,41,4,1,9.197093718384991e-05,EB,Your Swimming Goals Starts Here,Explore Now!,20230811_EDM_MAA SPORTS_PSA DF_PSA Splash Out! | Swimming Collection_EB List,,Friday,Email
N/A,01H7HDRFAHSPSJ5MKCCEX1ZHTN,20230811_EDM_MAA SPORTS_PSA DF_PSA Splash Out! | Swimming Collection_NB,2023-08-11,04:00 PM,110426,0.5403557763794948,0.0020581355286778975,0.0018677353255843474,0.0001632001740801857,70885,59598,335,227,212,132,0.0011953706554615761,NB,Your Swimming Goals Starts Here,Explore Now!,20230811_EDM_MAA SPORTS_PSA DF_PSA Splash Out! | Swimming Collection_NB List,20230811_EDM_MAA SPORTS_PSA DF_PSA Splash Out! | Swimming Collection_EB List,Friday,Email
