Date,Campaign ID,Campaign Name,Send Date,Send Time,Total Recipients,Open Rate,Click Rate,Unsubscribe Rate,Spam Complaints Rate,Total Opens,Unique Opens,Total Clicks,Unique Clicks,Total Unsubscribes,Bounces,Bounce Rate,Tags,Subject,Preview Text,List,Excluded List,Day of Week,Campaign Channel
N/A,01H7ZA4K6WX8WV11RW0CM6TH53,20230820_EDM_MAA SPORTS_Reebok DF_Last Call Promo Independence Day_EB,2023-08-20,10:00 AM,41,0.17073170731707318,0.0,0.0,0.0,7,7,0,0,0,0,0.0,EB,Last Chance! Independence Day Promo!,"Don't Limit Your Sporty Looks, Complete Them Now!",20230820_EDM_MAA SPORTS_Reebok DF_Last Call Promo Independence Day_EB List,,Sunday,Email
N/A,01H84227Q4SNM6RRYS3E97JE5X,20230820_EDM_MAA SPORTS_Reebok DF_Last Call Promo Independence Day_NB,2023-08-20,10:00 AM,16827,0.15411286465805835,0.004782400765184123,0.003646580583452893,0.0,3004,2578,96,80,63,99,0.005883401675878053,EB,Last Chance! Independence Day Promo!,"Don't Limit Your Sporty Looks, Complete Them Now!",20230820_EDM_MAA SPORTS_Reebok DF_Last Call Promo Independence Day_NB List,20230820_EDM_MAA SPORTS_Reebok DF_Last Call Promo Independence Day_EB List,Sunday,Email
N/A,01H7J7HDNCX839R2B2B5S26D3C,20230811_EDM_MAA SPORTS_Reebok DF_50% OFF On Apparel_1_NB,2023-08-11,08:00 PM,63840,0.6847242022151552,0.0016135854495323736,0.0010496138361035829,0.0001409929033571977,51872,43708,138,103,70,7,0.00010964912280701755,NB,Level Up Your Workout-Wear 🏋🏻,"Just for You, Weekend Special.",20230811_EDM_MAA SPORTS_Reebok DF_50% OFF On Apparel_NB List,20230811_EDM_MAA SPORTS_Reebok DF_50% OFF On Apparel_EB List,Friday,Email
N/A,01H7J7JC30NQ26TYS530D7DCN0,20230811_EDM_MAA SPORTS_Reebok DF_50% OFF On Apparel_1_EB,2023-08-11,08:00 PM,574,0.1762652705061082,0.0034904013961605585,0.0034904013961605585,0.0,119,101,2,2,2,1,0.0017421602787456446,EB,Level Up Your Workout-Wear 🏋🏻,"Just for You, Weekend Special.",20230811_EDM_MAA SPORTS_Reebok DF_50% OFF On Apparel_EB List,,Friday,Email
N/A,01H7FBQWP7QDAZRXATR97VK3W0,20230811_EDM_MAA SPORTS_Reebok DF_50% OFF On Apparel_EB,2023-08-11,05:30 PM,575,0.1759581881533101,0.005226480836236934,0.003484320557491289,0.0,123,101,3,3,2,1,0.0017391304347826088,EB,Revamp Your Wardrobe!👕,"Just for You, 50% OFF on Apparels",20230811_EDM_MAA SPORTS_Reebok DF_50% OFF On Apparel_EB List,,Friday,Email
N/A,01H7HYAQPAPSW8MNT55HBAZ8N2,20230811_EDM_MAA SPORTS_Reebok DF_50% OFF On Apparel_NB,2023-08-11,05:30 PM,63878,0.6791926973241267,0.0011586578358150532,0.0009237947609876775,9.394522993095025e-05,51342,43378,104,74,62,11,0.00017220326246908168,NB,Revamp Your Wardrobe!👕,"Just for You, 50% OFF on Apparels",20230811_EDM_MAA SPORTS_Reebok DF_50% OFF On Apparel_NB List,20230811_EDM_MAA SPORTS_Reebok DF_50% OFF On Apparel_EB List,Friday,Email
N/A,01H6X0XSYZY1MCVRC3RJN41A7B,20230809_EDM_MAA SPORTS_Reebok DF_Running Special_EB,2023-08-09,05:00 PM,617,0.15559157212317667,0.0016207455429497568,0.0016207455429497568,0.0,120,96,1,1,1,0,0.0,EB,Time to Run & Be At Your Best!🎉,Gear Up Your Running Attire With Reebok Running Classic.,20230809_EDM_MAA SPORTS_Reebok DF_Running Special_EB List,,Wednesday,Email
N/A,01H7CPGHJVJ04DWPJJJ1WB2PPD,20230809_EDM_MAA SPORTS_Reebok DF_Running Special_NB,2023-08-09,05:00 PM,67133,0.6594562383612663,0.002532588454376164,0.0007150837988826816,0.0001638733705772812,52926,44266,236,170,50,8,0.000119166430816439,NB,Time to Run & Be At Your Best!🎉,Gear Up Your Running Attire With Reebok Running Classic.,20230809_EDM_MAA SPORTS_Reebok DF_Running Special_NB List,20230809_EDM_MAA SPORTS_Reebok DF_Running Special_EB List,Wednesday,Email
N/A,01H780MVSVJFH2N1M0Q9BFQHK7,20230808_EDM_MAA SPORTS_Reebok DF_8.8 Double Discount_EB,2023-08-08,05:00 PM,652,0.18923076923076923,0.007692307692307693,0.006153846153846154,0.0,162,123,8,5,4,2,0.003067484662576687,EB,Semarak Indonesia! 8.8 🎉🎉,Double Discount is Here Just For Today!,20230808_EDM_MAA SPORTS_Reebok DF_8.8 Double Discount_EB List,,Tuesday,Email
N/A,01H7A580RT9WPPM2M4AHZYPM0N,20230808_EDM_MAA SPORTS_Reebok DF_8.8 Double Discount_NB,2023-08-08,05:00 PM,69326,0.7061065396275444,0.003637938501515808,0.0006785044030604879,0.00020210769452865598,58501,48912,328,252,50,56,0.0008077777457231053,NB,Semarak Indonesia! 8.8 🎉🎉,Double Discount is Here Just For Today!,20230808_EDM_MAA SPORTS_Reebok DF_8.8 Double Discount_NB List,20230808_EDM_MAA SPORTS_Reebok DF_8.8 Double Discount_EB List,Tuesday,Email
N/A,01H693Z8KWN2ZM02Z94Q9HQFBV,20230728_EDM_MAA SPORTS_Reebok DF_Payday_EB,2023-07-28,04:30 PM,530,0.2037735849056604,0.0,0.0018867924528301887,0.0,136,108,0,0,1,0,0.0,EB,PAYDAY! Buy 3 Get 25% OFF Now!,Don't Miss Out! Shop Now!,20230728_EDM_MAA SPORTS_Reebok DF_Payday_EB List,,Friday,Email
N/A,01H6BMR89QWB6NNG57YRVBFB43,20230728_EDM_MAA SPORTS_Reebok DF_Payday_NB,2023-07-28,04:30 PM,105959,0.556392894580276,0.0022381505510383317,0.0010860224192802033,0.00010388040532245422,71289,58917,306,237,117,68,0.000641757660982078,NB,PAYDAY! Buy 3 Get 25% OFF Now!,Don't Miss Out! Shop Now!,20230728_EDM_MAA SPORTS_Reebok DF_Payday_NB List,20230728_EDM_MAA SPORTS_Reebok DF_Payday_EB List,Friday,Email
N/A,01H5S1YHA6KNY7SJRA0PRPKGX0,20230721_EDM_MAA SPORTS_Reebok DF_Mid Year Sale_EB,2023-07-21,05:00 PM,514,0.20038910505836577,0.009727626459143969,0.0019455252918287938,0.0,129,103,7,5,1,0,0.0,EB,Final Day of Mid Year Sale 🙌,Act Fast & Don't Miss Out, 20230721_EDM_MAA SPORTS_Reebok DF_Mid Year Sale_EB List,,Friday,Email
N/A,01H5VM8JTQWMW49NC7EEQ0F47K,20230721_EDM_MAA SPORTS_Reebok DF_Mid Year Sale_NB,2023-07-21,05:00 PM,86551,0.6456297769503833,0.0029832452620746274,0.001098481782546859,0.00013875559358486638,68501,55836,356,258,100,68,0.0007856639438019202,NB,Final Day of Mid Year Sale 🙌,Act Fast & Don't Miss Out,20230721_EDM_MAA SPORTS_Reebok DF_Mid Year Sale_NB List, 20230721_EDM_MAA SPORTS_Reebok DF_Mid Year Sale_EB List,Friday,Email
N/A,01H51H8099JWV767DA4HFZ948W,20230714_EDM_MAA SPORTS_Reebok DF_Nano X3 Adventure_EB,2023-07-14,05:00 PM,754,0.4416445623342175,0.003978779840848806,0.0,0.0,418,333,4,3,0,0,0.0,EB,The Nano X3 Is Here 💪🏻,The Best Nano Ever.,20230714_EDM_MAA SPORTS_Reebok DF_Nano X3 Adventure_EB List,,Friday,Email
N/A,01H59RZ76VHQKW3DNYH067BWXT,20230714_EDM_MAA SPORTS_Reebok DF_Nano X3 Adventure_NB,2023-07-14,05:00 PM,66995,0.8047038431653816,0.003332137947522563,0.0017333094256171179,0.00020919251688482457,66982,53854,290,223,119,71,0.0010597805806403463,NB,The Nano X3 Is Here 💪🏻,The Best Nano Ever.,20230714_EDM_MAA SPORTS_Reebok DF_Nano X3 Adventure_NB List,20230714_EDM_MAA SPORTS_Reebok DF_Nano X3 Adventure_EB List,Friday,Email
