Date,Campaign ID,Campaign Name,Send Date,Send Time,Total Recipients,Open Rate,Click Rate,Unsubscribe Rate,Spam Complaints Rate,Total Opens,Unique Opens,Total Clicks,Unique Clicks,Total Unsubscribes,Bounces,Bounce Rate,Tags,Subject,Preview Text,List,Excluded List,Day of Week,Campaign Channel
N/A,01H7WDEY0E79S6AYA8Y1YH50NV,20230817_EDM_MAA SPORTS_SKE DF_Independence Day BOGO 50%!*_EB,2023-08-17,06:00 PM,4059,0.21162847992116285,0.019216555801921657,0.0022172949002217295,0.0,1068,859,116,78,9,0,0.0,EB,"Hurry, Limited Time Offer Inside! Buy 1 Get 50% Off on Second Item! 🎉",Embrace the spirit of freedom with our special Indonesia Independence Day offer!,20230817_EDM_MAA SPORTS_SKE DF_Independence Day BOGO 50%!*_EB List,,Thursday,Email
N/A,01H7YKTQG9W2Z3DCJ5RYW9Y521,20230817_EDM_MAA SPORTS_SKE DF_Independence Day BOGO 50%!*_NB,2023-08-17,06:00 PM,65976,0.6329743667526164,0.007250113757015016,0.0007432124981040498,3.033520400424693e-05,48558,41732,729,478,49,46,0.0006972232326906754,NB,"Hurry, Limited Time Offer Inside! Buy 1 Get 50% Off on Second Item! 🎉",Embrace the spirit of freedom with our special Indonesia Independence Day offer!,20230817_EDM_MAA SPORTS_SKE DF_Independence Day BOGO 50%!*_NB List,20230817_EDM_MAA SPORTS_SKE DF_Independence Day BOGO 50%!*_EB List,Thursday,Email
N/A,01H7F209K58PDA2T18PVEX251T,20230816_EDM_MAA SPORTS_SKE DF_Cha Eun-Woo perfect comfort_EB,2023-08-16,07:00 PM,4257,0.20530890298332158,0.007517030772844727,0.0009396288466055908,0.0,1065,874,45,32,4,0,0.0,EB,Skechers x Cha Eun-woo: Where Comfort Meets Sportiness! 👟,Find the Perfect Comfort for Your Daily Sporty Look.,20230816_EDM_MAA SPORTS_SKE DF_Cha Eun-Woo perfect comfort_EB Rev List,,Wednesday,Email
N/A,01H7YZ1KBVAZWARW5WEVVZDDCC,20230816_EDM_MAA SPORTS_SKE DF_Cha Eun-Woo perfect comfort_NB,2023-08-16,07:00 PM,79620,0.5698445661066012,0.0037127934050720534,0.0010697879302749985,6.292870178088226e-05,52998,45277,444,295,86,165,0.002072343632253203,NB,Skechers x Cha Eun-woo: Where Comfort Meets Sportiness! 👟,Find the Perfect Comfort for Your Daily Sporty Look.,20230816_EDM_MAA SPORTS_SKE DF_Cha Eun-Woo perfect comfort_NB Rev List,20230816_EDM_MAA SPORTS_SKE DF_Cha Eun-Woo perfect comfort_EB Rev List,Wednesday,Email
N/A,01H7F3SYKG0Q7M6QX6ZSV755DJ,20230811_EDM_MAA SPORTS_SKE DF_Weekend Special +50% OFF! ON APPAREL_EB,2023-08-11,06:00 PM,4236,0.20802833530106257,0.01818181818181818,0.0018890200708382527,0.0,1090,881,105,77,8,1,0.00023607176581680832,EB,🎉 Claim your Weekend treat: +50% Off Skechers Apparel! 👚👟,Shop now 🛍️,20230811_EDM_MAA SPORTS_SKE DF_Weekend Special +50% OFF! ON APPAREL_EB List,,Friday,Email
N/A,01H7FF3FNP7HVVYSVWENRF3W2N,20230811_EDM_MAA SPORTS_SKE DF_Weekend Special +50% OFF! ON APPAREL_NB,2023-08-11,06:00 PM,65989,0.6555575763086903,0.006592707101936892,0.0012427631778363795,0.00010608953957139826,51408,43255,599,435,84,7,0.00010607828577490188,NB,🎉 Claim your Weekend treat: +50% Off Skechers Apparel! 👚👟,Shop now 🛍️,20230811_EDM_MAA SPORTS_SKE DF_Weekend Special +50% OFF! ON APPAREL_NB List,20230811_EDM_MAA SPORTS_SKE DF_Weekend Special +50% OFF! ON APPAREL_EB List,Friday,Email
N/A,01H76WK6FGFRQ98W5TP3KFTN8B,20230809_EDM_MAA SPORTS_SKE DF_Skechers x Ashley Park_EB,2023-08-09,06:00 PM,4576,0.1910800174901618,0.008089199825098382,0.0017490161783996502,0.0,1077,874,46,37,8,2,0.00043706293706293706,EB,Introducing Skechers x Ashley Park Collection,Redefine your look with stylish designs inspired by Ashley Park's distinct fashion sense. Get ready to walk the fashion talk! 👡💃,20230809_EDM_MAA SPORTS_SKE DF_Skechers x Ashley Park_EB List,,Wednesday,Email
N/A,01H7ACVY1F48AVHQA336DJF470,20230809_EDM_MAA SPORTS_SKE DF_Skechers x Ashley Park_NB,2023-08-09,06:00 PM,63953,0.6518414262256627,0.00392524826022363,0.0006724528892016577,0.00010946907498631637,49999,41682,364,251,44,8,0.00012509186433787314,NB,Introducing Skechers x Ashley Park Collection,Redefine your look with stylish designs inspired by Ashley Park's distinct fashion sense. Get ready to walk the fashion talk! 👡💃,20230809_EDM_MAA SPORTS_SKE DF_Skechers x Ashley Park_NB List,20230809_EDM_MAA SPORTS_SKE DF_Skechers x Ashley Park_EB List,Wednesday,Email
N/A,01H79N6JYY78DQMAMG9KKDK6VV,20230808_EDM_MAA SPORTS_SKE DF_8.8 Semarak Indonesia_EB,2023-08-08,06:00 PM,4247,0.19948186528497408,0.01436646255299105,0.001413094677343382,0.0,1057,847,98,61,6,1,0.0002354603249352484,EB,"🎉 Ready, Set, Save! Skechers 8.8 Semarak Indonesia Sale is ON!",🎉 Enjoy discounts up to 30% off + 20% off Skechers items today! Shop now and claim your reward!,20230808_EDM_MAA SPORTS_SKE DF_8.8 Semarak Indonesia_EB List,,Tuesday,Email
N/A,01H7A7NBXNA4HDYY5N929ZCJA0,20230808_EDM_MAA SPORTS_SKE DF_8.8 Semarak Indonesia_NB,2023-08-08,06:00 PM,66352,0.6503724254395223,0.005895479629685474,0.0006181960737010343,0.00010554567111968879,51904,43134,574,391,44,30,0.000452134072823728,NB,"🎉 Ready, Set, Save! Skechers 8.8 Semarak Indonesia Sale is ON!",🎉 Enjoy discounts up to 30% off + 20% off Skechers items today! Shop now and claim your reward!,20230808_EDM_MAA SPORTS_SKE DF_8.8 Semarak Indonesia_NB List,20230808_EDM_MAA SPORTS_SKE DF_8.8 Semarak Indonesia_EB List,Tuesday,Email
