Date,Campaign ID,Campaign Name,Send Date,Send Time,Total Recipients,Open Rate,Click Rate,Unsubscribe Rate,Spam Complaints Rate,Total Opens,Unique Opens,Total Clicks,Unique Clicks,Total Unsubscribes,Bounces,Bounce Rate,Tags,Subject,Preview Text,List,Excluded List,Day of Week,Campaign Channel
N/A,01H7W2STX4C76EG9NC5VFBSBZV,20230817_EDM_MAA FFW_SM DF_Independence day_EB,2023-08-17,10:00 AM,200,0.245,0.015,0.0,0.0,59,49,3,3,0,0,0.0,EB,Raise Your Shopping Flag,Enjoy + 17% OFF for You❤️🤍,20230817_EDM_MAA FFW_SM DF_Independence day_EB List,,Thursday,Email
N/A,01H7YHQ6A6QJPGQEKZ7ZGV9S40,20230817_EDM_MAA FFW_SM DF_Independence day_NB,2023-08-17,10:00 AM,15606,0.5993846548298186,0.006730337798859048,0.0011537721940901224,0.00019229536568168707,10786,9351,141,105,18,5,0.0003203895937459951,NB,Raise Your Shopping Flag,Enjoy + 17% OFF for You❤️🤍,20230817_EDM_MAA FFW_SM DF_Independence day_NB List,20230817_EDM_MAA FFW_SM DF_Independence day_EB List,Thursday,Email
N/A,01H7ACRPAQJ6X8080KJX2RH8B0,20230811_EDM_MAA FFW_SM DF_Last Call 8.8_EB,2023-08-11,01:00 PM,96,0.3229166666666667,0.03125,0.0,0.0,41,31,3,3,0,0,0.0,EB,Pretty in PINK💕,Be a Barbie Girl & be the Spotlight.,20230811_EDM_MAA FFW_SM DF_Last Call 8.8_EB List,,Friday,Email
N/A,01H7F9YASP586AMNSMDK0DGA7V,20230811_EDM_MAA FFW_SM DF_Last Call 8.8_NB,2023-08-11,01:00 PM,15614,0.6310088450198692,0.0059607742597102935,0.0025637738751442124,0.00032047173439302655,11831,9845,135,93,41,12,0.0007685410529012425,EB,Pretty in PINK💕,Be a Barbie Girl & be the Spotlight.,20230811_EDM_MAA FFW_SM DF_Last Call 8.8_NB List,20230811_EDM_MAA FFW_SM DF_Last Call 8.8_EB List,Friday,Email
N/A,01H77Y1SP0HC4G27BDGCXSH4G9,20230808_EDM_MAA FFW_SM DF_8.8 Deals_EB,2023-08-08,12:00 PM,91,0.32967032967032966,0.03296703296703297,0.01098901098901099,0.0,40,30,3,3,1,0,0.0,EB,BRB Shopping This 8.8🛍️,Get 8% + 8% off on select styles. T&C Apply,20230808_EDM_MAA FFW_SM DF_8.8 Deals_EB Rev List,,Tuesday,Email
N/A,01H79N6S68CT87NKT8KYY759A5,20230808_EDM_MAA FFW_SM DF_8.8 Deals_NB,2023-08-08,12:00 PM,14374,0.6518167896422108,0.00647361826534874,0.0018794375609076988,0.00020882639565641096,11361,9364,115,93,27,8,0.0005565604563795742,NB,BRB Shopping This 8.8🛍️,Get 8% + 8% off on select styles. T&C Apply,20230808_EDM_MAA FFW_SM DF_8.8 Deals_NB Rev List,20230808_EDM_MAA FFW_SM DF_8.8 Deals_EB Rev List,Tuesday,Email
N/A,01H6QM4E7RKYBQVH58J8HT9Y01,20230802_EDM_MAA FFW_SM DF_Top Picks_EB,2023-08-02,04:00 PM,120,0.2711864406779661,0.025423728813559324,0.01694915254237288,0.0,42,32,3,3,2,2,0.016666666666666666,EB,Explore Our Top-Styles Items.,Enjoy 16% off on your purchase. T&C Apply.,20230802_EDM_MAA FFW_SM DF_Top Picks_EB List,,Wednesday,Email
N/A,01H6T5ZKZ053SDZH59BY0F22CK,20230802_EDM_MAA FFW_SM DF_Top Picks_NB,2023-08-02,04:00 PM,17588,0.6024261844815747,0.005149919890135042,0.0022888532845044634,0.00040054932478828106,12957,10528,123,90,44,112,0.006367978166931999,NB,Explore Our Top-Styles Items.,Enjoy 16% off on your purchase. T&C Apply., 20230802_EDM_MAA FFW_SM DF_Top Picks_NB List,20230802_EDM_MAA FFW_SM DF_Top Picks_EB List,Wednesday,Email
N/A,01H66JHW7WGMTM00J4FJCX409R,20230730_EDM_MAA FFW_SM DF_Warm up 7_NB,2023-07-30,11:00 AM,52510,0.09714000153763358,0.001403090643499654,0.0014607519028215577,0.000711155531636811,6099,5054,140,73,77,482,0.009179203961150257,NB,Steve Madden is Now Online: Experience Shopping at Your Fingertips,Enjoy FREE Shipping Across Indonesia🚚, 20230730_EDM_MAA FFW_SM DF_Warm up 7_NB List,,Sunday,Email
N/A,01H66HPS019XS0PJBC5K2FP6KC,20230729_EDM_MAA FFW_SM DF_Warm up 6_NB,2023-07-29,10:00 AM,34403,0.05000296226079744,0.0013922625747970852,0.0010960364950530245,0.0005628295515137153,2116,1688,107,47,38,645,0.01874836496817138,NB,Steve Madden is Now Online: Experience Shopping at Your Fingertips,Enjoy FREE Shipping Across Indonesia🚚,20230729_EDM_MAA FFW_SM DF_Warm up 6_NB List,,Saturday,Email
