Date,Campaign ID,Campaign Name,Send Date,Send Time,Total Recipients,Open Rate,Click Rate,Unsubscribe Rate,Spam Complaints Rate,Total Opens,Unique Opens,Total Clicks,Unique Clicks,Total Unsubscribes,Bounces,Bounce Rate,Tags,Subject,Preview Text,List,Excluded List,Day of Week,Campaign Channel
N/A,01H68MXQ27V5F3SJV6WSHKP0DD,20230728_EDM_MAA SPORTS_SS DF_PAYDAY | Buy 2 Get 15% | Buy 3 Get 25%_EB,2023-07-28,07:00 PM,14089,0.10392101150731638,0.006961216081829805,0.00042619690296917176,0.0,1770,1463,140,98,7,11,0.0007807509404499965,N/A,Big Savings Alert! Beli Banyak Makin Hemat💰,"Promo Terbatas, Belanja Sekarang ⬇️🛍️",20230728_EDM_MAA SPORTS_SS DF_PAYDAY | Buy 2 Get 15% | Buy 3 Get 25%_EB List,,Friday,Email
N/A,01H6DZ1HHNGBFWFCDTMSEHP3NW,20230728_EDM_MAA SPORTS_SS DF_PAYDAY | Buy 2 Get 15% | Buy 3 Get 25%_NB,2023-07-28,07:00 PM,109033,0.2316631917499556,0.004833718223211197,0.001439830960105463,1.8699103377993027e-05,31108,24778,1070,517,159,2076,0.019040107123531408,N/A,Big Savings Alert! Beli Banyak Makin Hemat💰,"Promo Terbatas, Belanja Sekarang ⬇️🛍️",20230728_EDM_MAA SPORTS_SS DF_PAYDAY | Buy 2 Get 15% | Buy 3 Get 25%_NB List,20230728_EDM_MAA SPORTS_SS DF_PAYDAY | Buy 2 Get 15% | Buy 3 Get 25%_EB List,Friday,Email
N/A,01H5KK9M6357DFM94WV4MXS3BD,20230721_EDM_MAA SPORTS_SS DF_Mid Year Sale! Buy More Save More_EB,2023-07-21,05:30 PM,15121,0.11607557176002652,0.006695392774279085,0.0006629101756711965,0.0,2172,1751,128,101,10,36,0.002380794920970835,N/A,Belanja Hemat Setiap Saat!💰,Beli Sekarang⬇️🛍️,20230721_EDM_MAA SPORTS_SS DF_Mid Year Sale! Buy More Save More_EB List,,Friday,Email
N/A,01H5VVXXC22Y54CT1W0TMZR1W6,20230721_EDM_MAA SPORTS_SS DF_Mid Year Sale! Buy More Save More_NB,2023-07-21,05:30 PM,69936,0.29211724326109745,0.0036189737624402222,0.0011776025734924532,5.7444027975241624e-05,25731,20341,343,252,83,303,0.004332532601235416,N/A,Belanja Hemat Setiap Saat!💰,Beli Sekarang⬇️🛍️,20230721_EDM_MAA SPORTS_SS DF_Mid Year Sale! Buy More Save More_NB List,20230721_EDM_MAA SPORTS_SS DF_Mid Year Sale! Buy More Save More_EB List,Friday,Email
N/A,01H4HWZW3DFSCCJT8SARJRHRHZ,20230710_EDM_MAA SPORTS_SS DF_Reebok Product_EB,2023-07-10,05:00 PM,14095,0.12350767481523593,0.0027003979533826035,0.0011370096645821489,0.0,2145,1738,47,38,16,23,0.0016317843206810926,N/A,Look Incredible While Running 🏃🏻‍♀️🏃🏻,Be at Your Best,20230710_EDM_MAA SPORTS_SS DF_Reebok Product_EB List,,Monday,Email
N/A,01H4QJ2XR5268RJ2GHAQHR7A07,20230710_EDM_MAA SPORTS_SS DF_Reebok Product_NB,2023-07-10,05:00 PM,25279,0.6190608172315489,0.002296484003801077,0.0014649984162179285,0.00011878365536902122,20003,15635,85,58,39,23,0.0009098461173305906,N/A,Look Incredible While Running 🏃🏻‍♀️🏃🏻,Be at Your Best,20230710_EDM_MAA SPORTS_SS DF_Reebok Product_NB List,20230710_EDM_MAA SPORTS_SS DF_Reebok Product_EB List,Monday,Email
N/A,01H3X8JHKAKHQV6VH6DFS7QEQ6,20230709_EDM_MAA SPORTS_SS DF_DIADORA : BTS SPECIAL PRICE_EB,2023-07-09,06:00 PM,14878,0.18146328330080097,0.005855825536784007,0.00121155011105876,0.0,3173,2696,107,87,19,21,0.0014114800376394676,N/A,DIADORA BACK TO SCHOOL SPECIAL PRICE 💰,Hanya Rp 399.000! Belanja Sekarang!,20230709_EDM_MAA SPORTS_SS DF_DIADORA : BTS SPECIAL PRICE_EB List,,Sunday,Email
N/A,01H4N2D0K5666ZZ7AC9EGHPDZW,20230709_EDM_MAA SPORTS_SS DF_DIADORA : BTS SPECIAL PRICE_NB,2023-07-09,06:00 PM,26157,0.6808355970463328,0.0032138347935876345,0.0006886788843402074,0.00015303975207560163,22487,17795,110,84,18,20,0.0007646136789387163,N/A,DIADORA BACK TO SCHOOL SPECIAL PRICE 💰,Hanya Rp 399.000! Belanja Sekarang!,20230709_EDM_MAA SPORTS_SS DF_DIADORA : BTS SPECIAL PRICE_NB List,20230709_EDM_MAA SPORTS_SS DF_DIADORA : BTS SPECIAL PRICE_EB List,Sunday,Email
N/A,01H4N7AJVQ8FKDXRPMFP78ENZK,20230707_EDM_MAA SPORTS_SS DF_7.7 Mid Year Sale | Cash Rebate Rp 150K_EB,2023-07-07,07:00 PM,15654,0.14338729285302962,0.015484036086761788,0.0005118689615458443,0.00012796724038646108,2738,2241,339,242,8,25,0.0015970359013670627,N/A,"7.7 Special, Hemat Lebih Banyak di setiap Pembelian!💰",Belanja Sekarang⬇️🛍️,20230707_EDM_MAA SPORTS_SS DF_7.7 Mid Year Sale | Cash Rebate Rp 150K_EB List,,Friday,Email
N/A,01H4QR81503QV3RECRQHBV8Y2R,20230707_EDM_MAA SPORTS_SS DF_7.7 Mid Year Sale | Cash Rebate Rp 150K_NB,2023-07-07,07:00 PM,27760,0.630267853924078,0.007065863946068712,0.0008291575038754101,0.00014420130502181046,22159,17483,260,196,24,21,0.0007564841498559078,N/A,"7.7 Special, Hemat Lebih Banyak di setiap Pembelian!💰",Belanja Sekarang⬇️🛍️,20230707_EDM_MAA SPORTS_SS DF_7.7 Mid Year Sale | Cash Rebate Rp 150K_NB List,20230707_EDM_MAA SPORTS_SS DF_7.7 Mid Year Sale | Cash Rebate Rp 150K_EB List,Friday,Email
